Change Managed Component Library Link : Designator=U2 Old VaultGUID=7C5C494C-8C0B-46E3-B7B5-096FDD15FE09 New VaultGUID= Old ItemGUID=B2463506-730F-459D-8523-0B78693200D1 New ItemGUID= Old RevisionGUID=A6C5AE92-4D2B-4359-9DFE-946A9DB1E78A New RevisionGUID=
Change component parameters: Designator = "U2" ("U2"); Footprint = "QFN-20_L4.0-W4.0-P0.50-TL-EP2.7"; UniqueID = "\FWRRKYIX" ("\FWRRKYIX")
Change component parameters (AddParameter): Name = "AEC Category"; Value = "Q200"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "AEC Qualified"; Value = "N"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Alternate Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Alternate PartNumber"; Value = "PGA44801RTJT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.ti.com/lit/ds/symlink/pga448.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Product Folder"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.ti.com/product/pga448"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "Online Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.ti.com/product/pga448/datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CompType"; Value = "IC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Green_EU RoHS"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Green_EU RoHS-2"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Green_Lifecycle"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Green_REACh"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MountType"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Range"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "WQFN-20"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "RTJ0020J"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rating"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SizeArea_mm2"; Value = "16"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SizeAreaWB_mm2"; Value = "25"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SizeX_mm"; Value = "4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SizeY_mm"; Value = "4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SizeZ_mm"; Value = "0.8"; VariantName = "[No Variations]"
